1047,MM,25,Y,OC,PSB,1,0,0,0,0,0,0,0,0,0,0,1,2,2,ED,M,30,5,GD,WNC
1048,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,O,0,5,OT,P
1049,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,SA,M,30,5,BA,PAC
1050,MM,15,Y,SB,SB,1,0,0,0,0,0,0,0,0,1,0,2,4,1,TR,M,30,1,AD,WNC
1051,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,ED,M,18,2,BA,NE
1052,DP,15,W,OC,PSB,0,0,0,0,0,1,0,0,0,1,1,4,3,3,OT,M,30,1,AD,PAC
1053,SC,1,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AE,M,18,1,BA,ENC
1054,SC,5,M,OC,PSB,0,0,0,0,0,0,1,0,0,0,0,2,1,1,CO,M,18,5,HS,WSC
1055,SC,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,FO,M,30,2,AD,SA
1056,MM,20,M,OC,PSB,1,0,0,0,1,1,0,0,0,1,0,4,2,1,OT,M,30,4,AD,PAC
1057,SC,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,LS,M,18,5,BA,MA
1058,MM,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,BS,M,30,3,GD,MT
1059,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,CM,M,30,1,BA,MA
1060,WD,5,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,FF,O,0,5,OT,P
1061,MM,25,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,HS,M,30,3,BA,MT
1062,MM,10,M,OC,PSB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,AD,M,30,5,AD,MT
1063,SC,1,D,DB,DB,1,0,0,0,0,0,1,0,0,0,0,2,3,2,AD,M,18,5,HS,ENC
1064,MM,10,Y,PSE,OC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HC,M,30,4,GD,PAC
1065,MM,10,N,NA,NA,0,0,0,0,0,0,0,0,0,0,0,5,5,5,AE,M,18,2,BA,ESC
1066,MM,10,Y,OC,PSB,0,0,0,0,0,0,0,0,0,1,0,2,2,2,CM,M,30,3,BA,PAC
